   @ATTRIBUTE direccion_fantasma_S {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_W {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_E {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_cercano {North,South,West,East,Stop}   
   @ATTRIBUTE distancia_fantasma_cercano NUMERIC
   @ATTRIBUTE pac_dots NUMERIC
   @ATTRIBUTE nearest_food NUMERIC
   @ATTRIBUTE SCORE NUMERIC
   @ATTRIBUTE action {North,South,West,East,Stop}
   @ATTRIBUTE NEXT_SCORE NUMERIC

   @data

42, 27, 20, 13, 11, True, True, True, False, South, 4, 2, 5, 5, 5, 5, 999999, 5, 1, 1, 0, 2, 0, 0, 1, 1, East, West, None, West, West, 10, 0, -1, 359,South, 358
43, 27, 20, 13, 10, True, True, True, False, South, 4, 2, 5, 4, 6, 4, 999999, 5, 1, 1, 0, 2, 0, 0, 1, 1, East, West, None, West, West, 9, 0, -1, 358,South, 357
44, 27, 20, 13, 9, True, True, True, False, South, 4, 2, 4, 3, 7, 3, 999999, 4, 1, 1, 0, 2, 0, 0, 1, 1, East, West, None, West, West, 7, 0, -1, 357,South, 356
45, 27, 20, 13, 8, True, True, True, False, South, 4, 2, 4, 3, 7, 3, 999999, 4, 1, 1, 0, 2, 0, 2, 0, 0, South, South, None, South, South, 7, 0, -1, 356,South, 355
46, 27, 20, 13, 7, True, True, True, False, South, 4, 2, 4, 1, 8, 1, 999999, 4, 1, 1, 0, 2, 1, 0, 0, 1, East, North, None, North, North, 5, 0, -1, 355,South, 354
47, 27, 20, 13, 6, True, True, True, False, South, 4, 2, 4, 0, 8, 999999, 999999, 4, 1, 0, 0, 2, 1, 1, 0, 0, South, None, None, North, North, 4, 0, -1, 354,East, 353
48, 27, 20, 14, 6, True, True, True, True, East, 4, 2, 2, 0, 8, 999999, 999999, 2, 1, 0, 0, 2, 0, 1, 1, 0, South, None, None, West, West, 2, 0, -1, 353,East, 352
49, 27, 20, 15, 6, False, False, True, True, East, 4, 1, 9, 8, 8, 999999, 999999, 9, 1, 0, 0, 1, 0, 0, 0, 1, East, None, None, East, Stop, 15, 0, -1, 552,West, 551
50, 27, 20, 14, 6, True, True, True, True, West, 4, 1, 10, 9, 9, 999999, 999999, 10, 1, 0, 0, 1, 1, 0, 0, 0, North, None, None, North, Stop, 14, 0, -1, 551,North, 550
51, 27, 20, 14, 7, True, True, False, True, North, 4, 1, 11, 8, 8, 999999, 999999, 11, 1, 0, 0, 1, 0, 0, 0, 1, East, None, None, East, Stop, 15, 0, -1, 550,North, 549
