@relation 'data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-3,10,23-26,31,35-weka.filters.unsupervised.attribute.Remove-R19-22'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
2,3,True,False,True,True,4,3,1,0,1,999999,999999,1,2,0,0,3,2,0,-1,East
3,3,True,False,True,True,4,3,1,0,1,999999,1,1,2,0,1,2,1,0,-1,East
4,3,True,False,True,True,4,2,2,1,1,999999,2,2,2,0,1,1,3,0,-1,North
4,4,True,True,True,True,4,2,1,0,5,999999,1,2,1,0,1,1,1,0,-1,North
4,5,True,True,True,True,4,2,0,1,4,1,999999,1,1,1,0,1,1,0,-1,West
3,5,True,True,True,True,4,2,0,1,3,1,999999,2,1,1,0,1,1,0,-1,West
2,5,True,True,True,True,4,2,2,1,3,1,999999,2,1,1,0,2,3,0,-1,South
2,4,True,True,True,True,4,2,2,0,4,999999,999999,2,1,0,0,2,2,0,-1,South
2,3,True,False,True,True,4,2,2,0,5,999999,999999,2,1,0,0,2,2,0,-1,East
3,3,True,False,True,True,4,2,1,1,1,999999,999999,1,2,0,0,2,2,0,-1,East
4,3,True,False,True,True,4,2,1,1,1,999999,999999,1,2,0,0,2,2,0,-1,North
4,4,True,True,True,True,4,2,1,1,1,999999,999999,1,2,0,0,2,2,0,-1,North
4,5,True,True,True,True,4,1,1,4,4,999999,999999,1,1,0,0,1,5,0,-1,North
4,6,True,True,True,True,4,1,2,3,3,999999,999999,2,1,0,0,1,5,0,-1,North
4,7,True,True,True,True,4,1,2,2,2,999999,999999,2,1,0,0,1,4,0,-1,North
4,8,True,True,True,True,4,1,2,0,999999,999999,999999,2,0,0,0,1,2,0,-1,North
4,9,True,True,True,True,4,1,2,2,999999,2,999999,2,0,1,0,1,4,0,-1,East
5,9,True,True,True,True,4,1,0,2,999999,2,999999,999999,0,1,0,0,2,0,-1,North
5,10,False,True,True,True,4,1,1,3,999999,3,999999,1,0,1,0,1,4,0,-1,South
5,9,True,True,True,True,4,1,1,2,999999,2,999999,1,0,1,0,1,3,0,-1,South
5,8,True,True,True,True,4,1,1,2,999999,2,999999,1,0,1,0,1,3,0,-1,South
5,7,True,True,True,True,4,1,1,1,999999,1,999999,1,0,1,0,1,2,0,-1,South
5,6,True,True,True,True,4,1,2,0,999999,999999,999999,2,0,0,0,1,2,0,-1,East
6,6,True,False,True,True,4,1,2,0,999999,999999,999999,2,0,0,0,1,2,0,-1,East
7,6,False,False,True,True,4,1,1,1,999999,1,999999,1,0,1,0,1,2,0,-1,East
8,6,True,True,True,True,4,1,0,2,999999,2,999999,999999,0,1,0,0,2,0,-1,East
9,6,True,True,True,True,4,1,0,2,999999,2,999999,999999,0,1,0,0,2,0,-1,East
10,6,True,True,True,True,4,1,2,2,999999,2,2,999999,0,1,1,0,4,0,-1,South
10,5,True,True,True,True,4,1,2,2,999999,2,2,999999,0,1,1,0,4,0,-1,South
10,4,True,True,True,True,4,1,2,1,999999,1,2,999999,0,1,1,0,3,0,-1,South
10,3,True,False,True,True,4,1,1,0,999999,999999,1,999999,0,0,1,0,1,0,-1,West
1,11,False,True,True,False,4,4,5,0,999999,3,999999,5,0,3,0,4,9,2,14,East
2,11,False,False,True,True,4,4,4,0,999999,2,999999,4,0,3,0,4,8,2,13,East
3,11,False,False,True,True,4,4,3,0,999999,2,999999,3,0,3,0,4,6,2,12,East
4,11,False,False,True,True,4,4,1,0,999999,2,999999,1,0,3,0,4,5,2,11,East
5,11,False,True,True,True,4,4,0,0,999999,3,999999,1,0,3,0,3,3,2,10,East
6,11,False,True,True,True,4,4,0,0,999999,2,1,1,0,3,1,2,1,2,9,East
7,11,False,False,True,True,4,3,1,1,999999,1,1,5,0,3,2,1,2,2,8,East
8,11,False,False,True,True,4,3,2,1,999999,1,2,5,0,3,2,1,4,2,7,East
9,11,False,False,True,True,4,3,3,1,999999,1,3,4,0,3,2,1,4,2,6,East
10,11,False,True,True,True,4,3,4,1,999999,1,4,4,0,3,2,1,5,2,5,East
11,11,False,True,True,True,4,3,2,1,999999,1,6,2,0,3,2,1,4,2,4,East
12,11,False,False,True,True,4,3,0,0,999999,2,7,999999,0,2,2,0,2,2,3,East
13,11,False,False,True,True,4,3,2,0,999999,2,2,999999,0,2,3,0,4,2,2,East
14,11,False,True,True,True,4,3,3,0,999999,1,3,999999,0,2,3,0,4,1,9,South
14,10,True,True,False,False,4,3,3,1,1,1,3,999999,1,2,3,0,4,1,8,South
14,9,True,True,True,True,4,3,2,0,1,6,2,999999,1,1,3,0,2,1,7,West
13,9,False,True,True,True,4,3,1,1,2,1,1,999999,1,2,3,0,2,1,6,West
12,9,False,True,True,True,4,3,0,1,2,1,7,999999,1,2,2,0,1,1,5,West
11,9,True,False,True,True,4,3,1,0,2,6,6,1,1,1,2,1,1,1,4,West
10,9,True,True,True,True,4,3,2,1,1,1,5,2,1,2,2,1,3,1,3,West
