@relation data/training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R49

@attribute TICK numeric
@attribute width numeric
@attribute height numeric
@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute direction {North,South,West,East,Stop}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute vision_SW {True,False,Ghost}
@attribute vision_W {True,False,Ghost}
@attribute vision_NW {True,False,Ghost}
@attribute vision_S {True,False,Ghost}
@attribute vision_N {True,False,Ghost}
@attribute vision_SE {True,False,Ghost}
@attribute vision_E {True,False,Ghost}
@attribute vision_NE {True,False,Ghost}
@attribute distancia_pared_norte numeric
@attribute distancia_pared_sur numeric
@attribute distancia_pared_este numeric
@attribute distancia_pared_oeste numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute num_ghost_ori_N numeric
@attribute num_ghost_ori_S numeric
@attribute num_ghost_ori_W numeric
@attribute num_ghost_ori_E numeric
@attribute direccion_fantasma_N {North,South,West,East,Stop,None}
@attribute direccion_fantasma_S {North,South,West,East,Stop,None}
@attribute direccion_fantasma_W {North,South,West,East,Stop,None}
@attribute direccion_fantasma_E {North,South,West,East,Stop,None}
@attribute direccion_fantasma_cercano {North,South,West,East,Stop}
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute SCORE numeric
@attribute action {North,South,West,East,Stop}

@data
13,20,13,5,7,True,False,True,True,South,4,3,2,2,2,3,999999,2,True,False,False,True,False,False,False,False,5,1,6,5,2,1,0,3,1,1,0,1,North,South,None,South,South,5,2,6,188,East
14,20,13,6,7,True,False,True,True,East,4,3,0,2,2,3,999999,3,True,False,False,True,False,False,False,False,5,1,5,6,2,1,0,2,0,0,1,2,East,West,None,East,West,3,2,5,187,East
15,20,13,7,7,True,False,True,True,East,4,3,0,2,2,3,999999,2,True,False,False,True,False,False,False,False,3,1,4,7,2,1,0,2,0,0,1,2,West,East,None,East,East,3,2,4,186,East
16,20,13,8,7,True,True,True,True,East,4,3,0,2,2,3,1,7,True,False,False,False,False,False,False,False,3,5,3,8,2,1,1,1,0,0,2,1,West,East,East,West,East,4,2,3,185,South
17,20,13,8,6,True,True,True,False,South,4,3,0,2,3,2,2,6,False,True,False,False,False,False,False,False,4,4,3,1,2,1,1,1,0,0,3,0,West,West,West,West,West,4,2,2,184,South
18,20,13,8,5,True,True,True,True,South,4,3,1,1,4,1,3,1,False,False,True,False,False,False,False,False,5,3,11,8,2,1,1,2,0,0,2,1,West,West,West,East,West,4,2,3,183,South
19,20,13,8,4,True,True,True,True,South,4,3,1,1,1,999999,3,1,False,False,False,False,False,False,False,False,6,2,4,8,3,0,1,2,1,1,0,1,North,None,North,East,North,4,2,4,182,North
20,20,13,8,5,True,True,True,True,North,4,3,0,0,3,999999,4,5,False,False,True,False,False,False,False,False,5,3,11,8,2,0,1,1,0,1,2,0,South,None,West,South,West,4,2,3,181,West
21,20,13,7,5,False,True,True,True,West,4,3,0,1,3,1,3,7,False,False,True,False,True,False,False,False,1,3,12,7,2,1,1,1,0,1,1,1,East,South,South,East,South,4,2,4,180,South
22,20,13,7,4,True,True,True,True,South,4,3,1,0,3,999999,1,7,False,False,False,False,False,False,False,False,2,2,5,7,2,0,2,1,0,2,1,0,South,None,West,South,South,3,2,5,179,West
23,20,13,6,4,True,True,True,True,West,4,3,1,0,2,999999,1,8,False,Ghost,False,False,False,False,False,False,2,2,6,6,2,0,2,1,0,1,1,0,South,None,Stop,South,Stop,1,2,6,178,West
24,20,13,5,4,True,True,True,True,West,4,2,1,3,3,999999,999999,1,False,False,False,False,False,False,False,False,2,2,7,5,2,0,0,2,1,0,0,1,North,None,None,East,Stop,5,2,7,377,North
25,20,13,5,5,False,True,True,True,North,4,2,1,2,2,999999,999999,1,False,False,True,False,True,True,False,True,1,3,14,5,2,0,0,2,0,1,1,0,West,None,None,South,Stop,6,2,6,376,East
26,20,13,6,5,False,True,True,True,East,4,2,0,2,2,999999,999999,6,False,False,True,False,True,True,False,True,1,3,13,6,2,0,0,1,0,1,1,0,West,None,None,West,South,4,2,5,375,East
27,20,13,7,5,False,True,True,True,East,4,2,1,3,3,999999,1,5,False,False,True,False,True,False,False,False,1,3,12,7,2,0,1,1,2,0,0,0,North,None,North,North,North,6,2,4,374,East
28,20,13,8,5,True,True,True,True,East,4,2,2,2,2,999999,2,4,False,False,True,False,False,False,False,False,5,3,11,8,2,0,1,1,1,1,0,0,South,None,North,South,South,6,2,3,373,North
29,20,13,8,6,True,True,True,False,North,4,2,2,2,2,999999,2,4,False,True,False,False,False,False,False,False,4,4,3,1,2,0,1,1,2,0,0,0,North,None,North,North,North,6,2,2,372,North
30,20,13,8,7,True,True,True,True,North,4,2,2,2,2,999999,2,4,True,False,False,False,False,False,False,False,3,5,3,8,2,0,1,1,2,0,0,0,North,None,North,North,North,6,2,3,371,North
31,20,13,8,8,True,True,True,True,North,4,2,3,1,1,999999,3,3,False,False,False,False,False,False,False,False,2,6,3,8,2,0,1,1,0,0,2,0,West,None,West,West,West,4,2,4,370,North
32,20,13,8,9,False,True,True,True,North,4,2,2,0,2,999999,2,2,False,False,True,False,True,True,False,True,1,7,11,8,1,0,1,1,0,0,1,1,East,None,East,West,West,2,2,5,369,East
33,20,13,9,9,False,True,True,True,East,4,2,1,1,1,999999,3,1,False,False,True,False,True,Ghost,False,Ghost,1,7,10,9,2,0,1,1,1,0,0,1,North,None,East,North,North,2,2,4,368,East
34,20,13,10,9,True,True,True,True,East,4,2,1,1,1,999999,3,1,False,False,True,False,False,Ghost,False,Ghost,3,7,9,10,2,0,1,1,0,0,0,2,East,None,East,East,East,2,2,3,367,North
35,20,13,10,10,True,True,True,False,North,4,2,1,1,1,999999,3,1,False,True,False,False,False,Ghost,False,Ghost,2,8,2,1,2,0,1,1,1,0,0,1,East,None,East,North,North,2,2,4,366,East
36,20,13,11,10,True,True,False,True,East,4,2,1,1,1,999999,4,1,False,False,False,False,False,Ghost,True,Ghost,2,2,1,2,2,0,1,1,0,0,0,2,East,None,East,East,East,2,2,3,365,North
37,20,13,11,11,False,True,True,True,North,4,2,1,0,999999,999999,3,1,False,False,True,False,True,True,Ghost,True,1,3,8,11,0,0,1,1,0,0,0,1,None,None,East,Stop,Stop,1,2,4,364,East
38,20,13,12,11,False,False,True,True,East,4,1,5,0,999999,999999,5,999999,False,False,True,True,True,True,False,True,1,1,7,12,0,0,1,0,0,0,1,0,None,None,West,None,West,5,2,3,563,West
39,20,13,11,11,False,True,True,True,West,4,1,4,0,999999,999999,4,999999,False,False,True,False,True,True,False,True,1,3,8,11,0,0,1,0,0,0,1,0,None,None,West,None,West,4,2,4,562,West
40,20,13,10,11,False,True,True,True,West,4,1,4,0,999999,999999,4,999999,True,False,True,False,True,True,False,True,1,9,9,10,0,0,1,0,0,0,1,0,None,None,West,None,West,4,2,5,561,West
41,20,13,9,11,False,False,True,True,West,4,1,2,0,999999,999999,2,999999,True,False,True,True,True,True,False,True,1,1,10,9,0,0,1,0,0,0,0,1,None,None,East,None,East,2,2,6,560,West
42,20,13,8,11,False,False,True,True,West,4,1,1,0,999999,999999,1,999999,True,Ghost,True,True,True,True,False,True,1,1,11,8,0,0,1,0,0,0,0,0,None,None,Stop,None,Stop,1,2,7,559,West
1,20,16,12,10,True,True,True,True,Stop,4,4,1,2,2,4,7,1,False,False,False,False,False,False,False,False,5,8,7,7,2,2,2,2,0,0,0,0,Stop,Stop,Stop,Stop,Stop,3,1,7,0,North
2,20,16,12,11,True,True,True,True,North,4,4,1,0,1,5,7,1,False,False,False,False,False,Ghost,False,Ghost,4,9,7,12,1,2,2,2,0,1,0,1,Stop,Stop,Stop,Stop,Stop,2,1,8,-1,North
3,20,16,12,12,True,True,True,True,North,4,4,1,1,999999,1,7,1,False,False,False,False,False,False,False,False,3,10,7,12,0,4,2,2,1,2,1,0,None,South,North,West,South,2,1,9,-2,East
4,20,16,13,12,True,True,True,True,East,4,4,0,1,999999,1,9,1,False,False,False,False,False,False,False,False,3,10,6,13,0,4,2,1,1,0,2,1,None,West,West,East,East,2,1,8,-3,South
5,20,16,13,11,True,True,True,True,South,4,4,0,0,999999,3,9,2,False,False,False,False,False,False,False,False,4,9,6,13,0,2,2,1,1,0,2,1,None,North,West,East,East,2,1,7,-4,East
6,20,16,14,11,True,True,True,True,East,4,4,0,0,1,3,10,2,False,False,False,False,False,False,False,False,4,9,5,14,1,2,2,1,1,0,1,2,North,East,West,East,East,2,1,6,-5,East
7,20,16,15,11,True,True,True,True,East,4,3,1,2,2,3,1,999999,False,False,False,False,False,False,False,False,4,9,4,15,1,2,3,0,2,0,0,1,North,North,East,None,East,4,1,5,194,South
8,20,16,15,10,True,True,True,True,South,4,3,2,2,3,2,2,999999,False,False,False,False,False,False,False,False,5,8,4,10,1,2,3,0,2,0,1,0,North,North,West,None,West,4,1,4,193,South
9,20,16,15,9,True,True,True,True,South,4,3,3,1,3,1,3,999999,False,False,False,False,False,False,False,False,6,7,4,15,1,2,3,0,0,2,1,0,South,West,West,None,West,4,1,3,192,South
10,20,16,15,8,True,True,True,True,South,4,3,3,0,3,1,3,999999,False,False,False,False,False,False,False,False,7,6,4,15,1,1,3,0,1,2,0,0,South,South,South,None,South,4,1,4,191,South
11,20,16,15,7,True,True,True,True,South,4,3,3,0,1,999999,3,999999,False,False,False,False,False,False,False,False,8,5,4,15,2,0,3,0,0,1,1,1,East,None,South,None,South,3,1,5,190,West
12,20,16,14,7,True,True,True,True,West,4,3,2,0,2,999999,2,999999,False,False,False,False,False,False,False,False,8,5,5,14,2,0,3,0,1,1,1,0,North,None,South,None,South,2,1,6,189,West
